Nome_Municipio,Nome_Microrregiao
Igarata,Sao Jose dos Campos
Iguape,Registro
Ilha Comprida,Registro
Ilha Solteira,Andradina
Ilhabela,Caraguatatuba
Indaiatuba,Campinas
Indiana,Presidente Prudente
Indiapora,Fernandopolis
Inubia Paulista,Adamantina
Ipaussu,Ourinhos
Ipero,Sorocaba
Ipeuna,Rio Claro
Ipigua,Sao Jose do Rio Preto
Iporanga,Capao Bonito
Ipua,Sao Joaquim da Barra
Iracemapolis,Limeira
Irapua,Novo Horizonte
Irapuru,Adamantina
Itabera,Itapeva
Itai,Avare
Itajobi,Novo Horizonte
Itaju,Jau
Itanhaem,Itanhaem
Itaoca,Capao Bonito
Itapecerica da Serra,Itapecerica da Serra
Itapetininga,Itapetininga
Itapeva,Itapeva
Itapevi,Osasco
Itapira,Moji Mirim
Itapirapua Paulista,Capao Bonito
Itapolis,Araraquara
Itaporanga,Itapeva
Itapui,Jau
Itapura,Andradina
Itaquaquecetuba,Mogi das Cruzes
Itarare,Itapeva
Itariri,Itanhaem
Itatiba,Braganca Paulista
Itatinga,Avare
Itirapina,Rio Claro
Itirapua,Franca
Itobi,Sao Joao da Boa Vista
Itu,Sorocaba
Itupeva,Jundiai
Ituverava,Ituverava
Jaborandi,Sao Joaquim da Barra
Jaboticabal,Jaboticabal
Jacarei,Sao Jose dos Campos
Jaci,Sao Jose do Rio Preto
Jacupiranga,Registro
Jaguariuna,Campinas
Jales,Jales
Jambeiro,Paraibuna/Paraitinga
Jandira,Osasco
Jardinopolis,Ribeirao Preto
Jarinu,Braganca Paulista
Jau,Jau
Jeriquara,Franca
Joanopolis,Braganca Paulista
Joao Ramalho,Presidente Prudente
Jose Bonifacio,Sao Jose do Rio Preto
Julio Mesquita,Lins
Jumirim,Piracicaba
Jundiai,Jundiai
Junqueiropolis,Dracena
Juquia,Registro
Juquitiba,Itapecerica da Serra
Lagoinha,Paraibuna/Paraitinga
Laranjal Paulista,Tatui
Lavinia,Aracatuba
Lavrinhas,Guaratingueta
Leme,Limeira
Lencois Paulista,Bauru
Limeira,Limeira
Lindoia,Amparo
Lins,Lins
Lorena,Guaratingueta
Lourdes,Birigui
Louveira,Jundiai
Lucelia,Adamantina
Lucianopolis,Bauru
Luis Antonio,Ribeirao Preto
Luiziania,Birigui
Lupercio,Marilia
Lutecia,Assis
Macatuba,Jau
Macaubal,Nhandeara
Macedonia,Fernandopolis
Magda,Auriflama
Mairinque,Sorocaba
Mairipora,Franco da Rocha
Manduri,Ourinhos
Maraba Paulista,Presidente Prudente
Maracai,Assis
Marapoama,Novo Horizonte
Mariapolis,Adamantina
Marilia,Marilia
Marinopolis,Jales
Martinopolis,Presidente Prudente
Matao,Araraquara
Maua,Sao Paulo
Mendonca,Sao Jose do Rio Preto
Meridiano,Fernandopolis
Mesopolis,Jales
Miguelopolis,Sao Joaquim da Barra
Mineiros do Tiete,Jau
Mira Estrela,Fernandopolis
Miracatu,Registro
Mirandopolis,Andradina
Mirante do Paranapanema,Presidente Prudente
Mirassol,Sao Jose do Rio Preto
Mirassolandia,Sao Jose do Rio Preto
Mococa,Sao Joao da Boa Vista
Mogi das Cruzes,Mogi das Cruzes
Mogi Guacu,Moji Mirim
Mogi Mirim,Moji Mirim
Mombuca,Piracicaba
Moncoes,Nhandeara
Mongagua,Itanhaem
Monte Alegre do Sul,Amparo
Monte Alto,Jaboticabal
Monte Aprazivel,Nhandeara
Monte Azul Paulista,Jaboticabal
Monte Castelo,Dracena
Monte Mor,Campinas
Monteiro Lobato,Campos do Jordao
Morro Agudo,Sao Joaquim da Barra
Morungaba,Braganca Paulista
Motuca,Araraquara
Murutinga do Sul,Andradina
Nantes,Assis
Narandiba,Presidente Prudente
Natividade da Serra,Paraibuna/Paraitinga
Nazare Paulista,Braganca Paulista
Neves Paulista,Nhandeara
Nhandeara,Nhandeara
Nipoa,Nhandeara
Nova Alianca,Sao Jose do Rio Preto
Nova Campina,Itapeva
Nova Canaa Paulista,Jales
Nova Castilho,Auriflama
Nova Europa,Araraquara
Nova Granada,Sao Jose do Rio Preto
Nova Guataporanga,Dracena
Nova Independencia,Andradina
Nova Luzitania,Auriflama
Nova Odessa,Campinas
Novais,Catanduva
Novo Horizonte,Novo Horizonte
Nuporanga,Sao Joaquim da Barra
Ocaucu,Marilia
oleo,Ourinhos
Olimpia,Sao Jose do Rio Preto
Onda Verde,Sao Jose do Rio Preto
Oriente,Marilia
Orindiuva,Sao Jose do Rio Preto
Orlandia,Sao Joaquim da Barra
Osasco,Osasco
Oscar Bressane,Marilia
Osvaldo Cruz,Adamantina
Ourinhos,Ourinhos
Ouro Verde,Dracena
Ouroeste,Fernandopolis
Pacaembu,Adamantina
Palestina,Sao Jose do Rio Preto
Palmares Paulista,Catanduva
Palmeira d'Oeste,Jales
Palmital,Assis
Panorama,Dracena
Paraguacu Paulista,Assis
Paraibuna,Paraibuna/Paraitinga
Paraiso,Catanduva
Paranapanema,Avare
Paranapua,Jales
Parapua,Adamantina
Pardinho,Botucatu
Pariquera-Acu,Registro
Parisi,Votuporanga
Patrocinio Paulista,Franca
Pauliceia,Dracena
Paulinia,Campinas
Paulistania,Bauru
Paulo de Faria,Sao Jose do Rio Preto
Pederneiras,Jau
Pedra Bela,Amparo
Pedranopolis,Fernandopolis
Pedregulho,Franca
Pedreira,Campinas
Pedrinhas Paulista,Assis
Pedro de Toledo,Itanhaem
Penapolis,Birigui
Pereira Barreto,Andradina
Pereiras,Tatui
Peruibe,Itanhaem
Piacatu,Birigui
Piedade,Piedade
Pilar do Sul,Piedade
Pindamonhangaba,Sao Jose dos Campos
Pindorama,Catanduva
Pinhalzinho,Amparo
Piquerobi,Presidente Prudente
Piquete,Guaratingueta
Piracaia,Braganca Paulista
Piracicaba,Piracicaba
Piraju,Ourinhos
Pirajui,Bauru
Pirangi,Jaboticabal
Pirapora do Bom Jesus,Osasco
Pirapozinho,Presidente Prudente
Pirassununga,Pirassununga
Piratininga,Bauru
Pitangueiras,Jaboticabal
Planalto,Sao Jose do Rio Preto
Platina,Assis
Poa,Mogi das Cruzes
Poloni,Nhandeara
Pompeia,Marilia
Pongai,Bauru
Pontal,Ribeirao Preto
Pontalinda,Jales
Pontes Gestal,Votuporanga
Populina,Jales
Porangaba,Tatui
Porto Feliz,Sorocaba
Porto Ferreira,Pirassununga
Potim,Guaratingueta
Potirendaba,Sao Jose do Rio Preto
Pracinha,Adamantina
Pradopolis,Ribeirao Preto
Praia Grande,Santos
Pratania,Botucatu
Presidente Alves,Bauru
Presidente Bernardes,Presidente Prudente
Presidente Epitacio,Presidente Prudente
Presidente Prudente,Presidente Prudente
Presidente Venceslau,Presidente Prudente
Promissao,Lins
Quadra,Tatui
Quata,Assis
Queiroz,Tupa
Queluz,Guaratingueta
Quintana,Tupa
Rafard,Piracicaba
Rancharia,Presidente Prudente
Redencao da Serra,Paraibuna/Paraitinga
Regente Feijo,Presidente Prudente
Reginopolis,Bauru
Registro,Registro
Restinga,Franca
Ribeira,Capao Bonito
Ribeirao Bonito,Sao Carlos
Ribeirao Branco,Capao Bonito
Ribeirao Corrente,Franca
Ribeirao do Sul,Ourinhos
Ribeirao dos indios,Presidente Prudente
Ribeirao Grande,Capao Bonito
Ribeirao Pires,Sao Paulo
Ribeirao Preto,Ribeirao Preto
Rifaina,Franca
Rincao,Araraquara
Rinopolis,Adamantina
Rio Claro,Rio Claro
Rio das Pedras,Piracicaba
Rio Grande da Serra,Sao Paulo
Riolandia,Votuporanga
Riversul,Itapeva
Rosana,Presidente Prudente
Roseira,Guaratingueta
Rubiacea,Aracatuba
Rubineia,Jales
Sabino,Lins
Sagres,Adamantina
Sales,Novo Horizonte
Sales Oliveira,Sao Joaquim da Barra
Salesopolis,Mogi das Cruzes
Salmourao,Adamantina
Saltinho,Piracicaba
Salto,Sorocaba
Salto de Pirapora,Sorocaba
Salto Grande,Ourinhos
Sandovalina,Presidente Prudente
Santa Adelia,Catanduva
Santa Albertina,Jales
Santa Barbara d'Oeste,Campinas
Santa Branca,Sao Jose dos Campos
Santa Clara d'Oeste,Jales
Santa Cruz da Conceicao,Limeira
Santa Cruz da Esperanca,Batatais
Santa Cruz das Palmeiras,Pirassununga
Santa Cruz do Rio Pardo,Ourinhos
Santa Ernestina,Jaboticabal
Santa Fe do Sul,Jales
Santa Gertrudes,Limeira
Santa Isabel,Guarulhos
Santa Lucia,Araraquara
Santa Maria da Serra,Piracicaba
Santa Mercedes,Dracena
Santa Rita do Passa Quatro,Ribeirao Preto
Santa Rita d'Oeste,Jales
Santa Rosa de Viterbo,Ribeirao Preto
Santa Salete,Jales
Santana da Ponte Pensa,Jales
Santana de Parnaiba,Osasco
Santo Anastacio,Presidente Prudente
Santo Andre,Sao Paulo
Santo Antonio da Alegria,Batatais
Santo Antonio de Posse,Moji Mirim
Santo Antonio do Aracangua,Aracatuba
Santo Antonio do Jardim,Sao Joao da Boa Vista
Santo Antonio do Pinhal,Campos do Jordao
Santo Expedito,Presidente Prudente
Santopolis do Aguapei,Birigui
Santos,Santos
Sao Bento do Sapucai,Campos do Jordao
Sao Bernardo do Campo,Sao Paulo
Sao Caetano do Sul,Sao Paulo
Sao Carlos,Sao Carlos
Sao Francisco,Jales
Sao Joao da Boa Vista,Sao Joao da Boa Vista
Sao Joao das Duas Pontes,Fernandopolis
Sao Joao de Iracema,Auriflama
Sao Joao do Pau d'Alho,Dracena
Sao Joaquim da Barra,Sao Joaquim da Barra
Sao Jose da Bela Vista,Franca
Sao Jose do Barreiro,Bananal
Sao Jose do Rio Pardo,Sao Joao da Boa Vista
Sao Jose do Rio Preto,Sao Jose do Rio Preto
Sao Jose dos Campos,Sao Jose dos Campos
Sao Lourenco da Serra,Itapecerica da Serra
Sao Luis do Paraitinga,Paraibuna/Paraitinga
Sao Manuel,Botucatu
Sao Miguel Arcanjo,Piedade
Sao Paulo,Sao Paulo
Sao Pedro,Piracicaba
Sao Pedro do Turvo,Ourinhos
Sao Roque,Sorocaba
Sao Sebastiao,Caraguatatuba
Sao Sebastiao da Grama,Sao Joao da Boa Vista
Sao Simao,Ribeirao Preto
Sao Vicente,Santos
Sarapui,Sorocaba
Sarutaia,Ourinhos
Sebastianopolis do Sul,Nhandeara
Serra Azul,Ribeirao Preto
Serra Negra,Amparo
Serrana,Ribeirao Preto
Sertaozinho,Ribeirao Preto
Sete Barras,Registro
Severinia,Catanduva
Silveiras,Bananal
Socorro,Amparo
Sorocaba,Sorocaba
Sud Mennucci,Andradina
Sumare,Campinas
Suzanapolis,Andradina
Suzano,Mogi das Cruzes
Tabapua,Catanduva
Tabatinga,Araraquara
Taboao da Serra,Itapecerica da Serra
Taciba,Presidente Prudente
Taguai,Ourinhos
Taiacu,Jaboticabal
Taiuva,Jaboticabal
Tambau,Sao Joao da Boa Vista
Tanabi,Sao Jose do Rio Preto
Tapirai,Piedade
Tapiratiba,Sao Joao da Boa Vista
Taquaral,Jaboticabal
Taquaritinga,Jaboticabal
Taquarituba,Itapeva
Taquarivai,Itapeva
Tarabai,Presidente Prudente
Taruma,Assis
Tatui,Tatui
Taubate,Sao Jose dos Campos
Tejupa,Ourinhos
Teodoro Sampaio,Presidente Prudente
Terra Roxa,Jaboticabal
Tiete,Piracicaba
Timburi,Ourinhos
Torre de Pedra,Tatui
Torrinha,Rio Claro
Trabiju,Araraquara
Tremembe,Sao Jose dos Campos
Tres Fronteiras,Jales
Tuiuti,Braganca Paulista
Tupa,Tupa
Tupi Paulista,Dracena
Turiuba,Birigui
Turmalina,Fernandopolis
Ubarana,Sao Jose do Rio Preto
Ubatuba,Caraguatatuba
Ubirajara,Bauru
Uchoa,Sao Jose do Rio Preto
Uniao Paulista,Nhandeara
Urania,Jales
Uru,Bauru
Urupes,Novo Horizonte
Valentim Gentil,Votuporanga
Valinhos,Campinas
Valparaiso,Aracatuba
Vargem,Braganca Paulista
Vargem Grande do Sul,Sao Joao da Boa Vista
Vargem Grande Paulista,Itapecerica da Serra
Varzea Paulista,Jundiai
Vera Cruz,Marilia
Vinhedo,Campinas
Viradouro,Jaboticabal
Vista Alegre do Alto,Jaboticabal
Vitoria Brasil,Jales
Votorantim,Sorocaba
Votuporanga,Votuporanga
Zacarias,Sao Jose do Rio Preto
